timestamp,event,total_in,total_out,occupancy
2023-04-05 08:00:00,IN,1,0,1
2023-04-05 08:05:00,IN,2,0,2
2023-04-05 08:11:00,OUT,2,1,1
2023-04-05 08:26:00,OUT,2,2,0
2023-04-05 08:38:00,IN,3,2,1
2023-04-05 08:51:00,IN,4,2,2
2023-04-05 08:57:00,IN,5,2,3
2023-04-05 09:05:00,IN,6,2,4
2023-04-05 09:13:00,IN,7,2,5
2023-04-05 09:20:00,IN,8,2,6
2023-04-05 09:26:00,IN,9,2,7
2023-04-05 09:34:00,IN,10,2,8
2023-04-05 09:38:00,IN,11,2,9
2023-04-05 09:44:00,IN,12,2,10
2023-04-05 09:49:00,IN,13,2,11
2023-04-05 09:56:00,OUT,13,3,10
2023-04-05 10:03:00,IN,14,3,11
2023-04-05 10:10:00,IN,15,3,12
2023-04-05 10:14:00,OUT,15,4,11
2023-04-05 10:16:00,OUT,15,5,10
2023-04-05 10:23:00,IN,16,5,11
2023-04-05 10:29:00,OUT,16,6,10
2023-04-05 10:35:00,IN,17,6,11
2023-04-05 10:38:00,OUT,17,7,10
2023-04-05 10:40:00,IN,18,7,11
2023-04-05 10:46:00,IN,19,7,12
2023-04-05 10:48:00,IN,20,7,13
2023-04-05 10:55:00,IN,21,7,14
2023-04-05 10:58:00,OUT,21,8,13
2023-04-05 11:01:00,IN,22,8,14
2023-04-05 11:04:00,IN,23,8,15
2023-04-05 11:06:00,OUT,23,9,14
2023-04-05 11:10:00,IN,24,9,15
2023-04-05 11:12:00,IN,25,9,16
2023-04-05 11:16:00,OUT,25,10,15
2023-04-05 11:21:00,IN,26,10,16
2023-04-05 11:24:00,OUT,26,11,15
2023-04-05 11:32:00,IN,27,11,16
2023-04-05 11:35:00,IN,28,11,17
2023-04-05 11:37:00,OUT,28,12,16
2023-04-05 11:44:00,OUT,28,13,15
2023-04-05 11:47:00,OUT,28,14,14
2023-04-05 11:52:00,IN,29,14,15
2023-04-05 11:54:00,OUT,29,15,14
2023-04-05 12:01:00,IN,30,15,15
2023-04-05 12:07:00,OUT,30,16,14
2023-04-05 12:20:00,IN,31,16,15
2023-04-05 12:31:00,OUT,31,17,14
2023-04-05 12:42:00,OUT,31,18,13
2023-04-05 12:47:00,IN,32,18,14
2023-04-05 12:56:00,OUT,32,19,13
2023-04-05 13:03:00,IN,33,19,14
2023-04-05 13:10:00,OUT,33,20,13
2023-04-05 13:17:00,IN,34,20,14
2023-04-05 13:22:00,OUT,34,21,13
2023-04-05 13:32:00,IN,35,21,14
2023-04-05 13:39:00,OUT,35,22,13
2023-04-05 13:49:00,IN,36,22,14
2023-04-05 14:04:00,IN,37,22,15
2023-04-05 14:09:00,IN,38,22,16
2023-04-05 14:11:00,OUT,38,23,15
2023-04-05 14:16:00,OUT,38,24,14
2023-04-05 14:21:00,OUT,38,25,13
2023-04-05 14:26:00,IN,39,25,14
2023-04-05 14:29:00,OUT,39,26,13
2023-04-05 14:32:00,OUT,39,27,12
2023-04-05 14:34:00,IN,40,27,13
2023-04-05 14:36:00,OUT,40,28,12
2023-04-05 14:43:00,OUT,40,29,11
2023-04-05 14:51:00,OUT,40,30,10
2023-04-05 14:55:00,OUT,40,31,9
2023-04-05 15:01:00,OUT,40,32,8
2023-04-05 15:04:00,OUT,40,33,7
2023-04-05 15:09:00,IN,41,33,8
2023-04-05 15:15:00,OUT,41,34,7
2023-04-05 15:19:00,IN,42,34,8
2023-04-05 15:24:00,IN,43,34,9
2023-04-05 15:29:00,OUT,43,35,8
2023-04-05 15:35:00,OUT,43,36,7
2023-04-05 15:43:00,IN,44,36,8
2023-04-05 15:51:00,OUT,44,37,7
2023-04-05 15:54:00,OUT,44,38,6
2023-04-05 15:57:00,OUT,44,39,5
2023-04-05 16:04:00,OUT,44,40,4
2023-04-05 16:06:00,IN,45,40,5
2023-04-05 16:14:00,OUT,45,41,4
2023-04-05 16:18:00,IN,46,41,5
2023-04-05 16:20:00,IN,47,41,6
2023-04-05 16:25:00,IN,48,41,7
2023-04-05 16:29:00,OUT,48,42,6
2023-04-05 16:37:00,OUT,48,43,5
2023-04-05 16:40:00,OUT,48,44,4
2023-04-05 16:48:00,OUT,48,45,3
2023-04-05 16:55:00,IN,49,45,4
2023-04-05 16:58:00,IN,50,45,5
2023-04-05 17:03:00,IN,51,45,6
2023-04-05 17:08:00,OUT,51,46,5
2023-04-05 17:14:00,IN,52,46,6
2023-04-05 17:19:00,IN,53,46,7
2023-04-05 17:22:00,IN,54,46,8
2023-04-05 17:30:00,IN,55,46,9
2023-04-05 17:34:00,IN,56,46,10
2023-04-05 17:37:00,OUT,56,47,9
2023-04-05 17:42:00,IN,57,47,10
2023-04-05 17:45:00,IN,58,47,11
2023-04-05 17:49:00,OUT,58,48,10
2023-04-05 17:51:00,IN,59,48,11
2023-04-05 17:55:00,IN,60,48,12
2023-04-05 18:03:00,IN,61,48,13
2023-04-05 18:18:00,IN,62,48,14
2023-04-05 18:31:00,OUT,62,49,13
2023-04-05 18:45:00,OUT,62,50,12
2023-04-05 18:53:00,IN,63,50,13
2023-04-05 18:59:00,OUT,63,51,12
2023-04-05 19:07:00,IN,64,51,13
2023-04-05 19:13:00,OUT,64,52,12
2023-04-05 19:24:00,IN,65,52,13
2023-04-05 19:31:00,IN,66,52,14
2023-04-05 19:42:00,OUT,66,53,13
2023-04-05 19:50:00,OUT,66,54,12
2023-04-05 20:04:00,OUT,66,55,11
2023-04-05 20:08:00,OUT,66,56,10
2023-04-05 20:09:00,OUT,66,57,9
2023-04-05 20:10:00,OUT,66,58,8
2023-04-05 20:15:00,OUT,66,59,7
2023-04-05 20:20:00,OUT,66,60,6
2023-04-05 20:21:00,OUT,66,61,5
2023-04-05 20:23:00,OUT,66,62,4
2023-04-05 20:26:00,OUT,66,63,3
2023-04-05 20:30:00,OUT,66,64,2
2023-04-05 20:34:00,OUT,66,65,1
2023-04-05 20:39:00,OUT,66,66,0
2023-04-14 08:00:00,IN,1,0,1
2023-04-14 08:07:00,OUT,1,1,0
2023-04-14 08:15:00,IN,2,1,1
2023-04-14 08:28:00,OUT,2,2,0
2023-04-14 08:38:00,IN,3,2,1
2023-04-14 08:51:00,OUT,3,3,0
2023-04-14 08:57:00,IN,4,3,1
2023-04-14 09:04:00,IN,5,3,2
2023-04-14 09:12:00,OUT,5,4,1
2023-04-14 09:14:00,IN,6,4,2
2023-04-14 09:22:00,OUT,6,5,1
2023-04-14 09:26:00,IN,7,5,2
2023-04-14 09:28:00,IN,8,5,3
2023-04-14 09:30:00,IN,9,5,4
2023-04-14 09:33:00,IN,10,5,5
2023-04-14 09:35:00,OUT,10,6,4
2023-04-14 09:37:00,IN,11,6,5
2023-04-14 09:41:00,OUT,11,7,4
2023-04-14 09:44:00,IN,12,7,5
2023-04-14 09:47:00,IN,13,7,6
2023-04-14 09:51:00,IN,14,7,7
2023-04-14 09:59:00,IN,15,7,8
2023-04-14 10:03:00,IN,16,7,9
2023-04-14 10:05:00,IN,17,7,10
2023-04-14 10:08:00,IN,18,7,11
2023-04-14 10:15:00,OUT,18,8,10
2023-04-14 10:20:00,OUT,18,9,9
2023-04-14 10:24:00,IN,19,9,10
2023-04-14 10:32:00,IN,20,9,11
2023-04-14 10:34:00,OUT,20,10,10
2023-04-14 10:36:00,IN,21,10,11
2023-04-14 10:43:00,OUT,21,11,10
2023-04-14 10:47:00,OUT,21,12,9
2023-04-14 10:53:00,IN,22,12,10
2023-04-14 10:58:00,IN,23,12,11
2023-04-14 11:06:00,OUT,23,13,10
2023-04-14 11:14:00,IN,24,13,11
2023-04-14 11:20:00,IN,25,13,12
2023-04-14 11:22:00,IN,26,13,13
2023-04-14 11:28:00,OUT,26,14,12
2023-04-14 11:35:00,IN,27,14,13
2023-04-14 11:37:00,IN,28,14,14
2023-04-14 11:39:00,OUT,28,15,13
2023-04-14 11:42:00,OUT,28,16,12
2023-04-14 11:44:00,IN,29,16,13
2023-04-14 11:52:00,OUT,29,17,12
2023-04-14 11:55:00,IN,30,17,13
2023-04-14 11:58:00,OUT,30,18,12
2023-04-14 12:03:00,IN,31,18,13
2023-04-14 12:10:00,IN,32,18,14
2023-04-14 12:21:00,OUT,32,19,13
2023-04-14 12:34:00,OUT,32,20,12
2023-04-14 12:46:00,OUT,32,21,11
2023-04-14 13:01:00,IN,33,21,12
2023-04-14 13:16:00,IN,34,21,13
2023-04-14 13:24:00,IN,35,21,14
2023-04-14 13:31:00,OUT,35,22,13
2023-04-14 13:39:00,OUT,35,23,12
2023-04-14 13:52:00,IN,36,23,13
2023-04-14 14:02:00,OUT,36,24,12
2023-04-14 14:10:00,OUT,36,25,11
2023-04-14 14:12:00,OUT,36,26,10
2023-04-14 14:16:00,IN,37,26,11
2023-04-14 14:20:00,IN,38,26,12
2023-04-14 14:28:00,IN,39,26,13
2023-04-14 14:32:00,IN,40,26,14
2023-04-14 14:38:00,IN,41,26,15
2023-04-14 14:44:00,OUT,41,27,14
2023-04-14 14:46:00,IN,42,27,15
2023-04-14 14:52:00,OUT,42,28,14
2023-04-14 14:56:00,OUT,42,29,13
2023-04-14 15:03:00,IN,43,29,14
2023-04-14 15:10:00,OUT,43,30,13
2023-04-14 15:18:00,IN,44,30,14
2023-04-14 15:21:00,IN,45,30,15
2023-04-14 15:24:00,OUT,45,31,14
2023-04-14 15:31:00,IN,46,31,15
2023-04-14 15:34:00,IN,47,31,16
2023-04-14 15:39:00,OUT,47,32,15
2023-04-14 15:42:00,IN,48,32,16
2023-04-14 15:44:00,OUT,48,33,15
2023-04-14 15:52:00,OUT,48,34,14
2023-04-14 15:57:00,IN,49,34,15
2023-04-14 16:05:00,OUT,49,35,14
2023-04-14 16:09:00,OUT,49,36,13
2023-04-14 16:11:00,IN,50,36,14
2023-04-14 16:14:00,OUT,50,37,13
2023-04-14 16:22:00,IN,51,37,14
2023-04-14 16:26:00,IN,52,37,15
2023-04-14 16:30:00,OUT,52,38,14
2023-04-14 16:33:00,OUT,52,39,13
2023-04-14 16:41:00,OUT,52,40,12
2023-04-14 16:44:00,IN,53,40,13
2023-04-14 16:49:00,IN,54,40,14
2023-04-14 16:54:00,IN,55,40,15
2023-04-14 16:58:00,IN,56,40,16
2023-04-14 17:05:00,IN,57,40,17
2023-04-14 17:13:00,IN,58,40,18
2023-04-14 17:15:00,IN,59,40,19
2023-04-14 17:17:00,IN,60,40,20
2023-04-14 17:22:00,OUT,60,41,19
2023-04-14 17:25:00,OUT,60,42,18
2023-04-14 17:31:00,IN,61,42,19
2023-04-14 17:36:00,OUT,61,43,18
2023-04-14 17:43:00,IN,62,43,19
2023-04-14 17:49:00,IN,63,43,20
2023-04-14 17:52:00,OUT,63,44,19
2023-04-14 18:00:00,OUT,63,45,18
2023-04-14 18:09:00,IN,64,45,19
2023-04-14 18:15:00,IN,65,45,20
2023-04-14 18:30:00,OUT,65,46,19
2023-04-14 18:37:00,OUT,65,47,18
2023-04-14 18:42:00,OUT,65,48,17
2023-04-14 18:48:00,OUT,65,49,16
2023-04-14 19:00:00,OUT,65,50,15
2023-04-14 19:12:00,OUT,65,51,14
2023-04-14 19:18:00,IN,66,51,15
2023-04-14 19:31:00,IN,67,51,16
2023-04-14 19:43:00,OUT,67,52,15
2023-04-14 19:56:00,OUT,67,53,14
2023-04-14 20:08:00,OUT,67,54,13
2023-04-14 20:10:00,OUT,67,55,12
2023-04-14 20:12:00,OUT,67,56,11
2023-04-14 20:15:00,OUT,67,57,10
2023-04-14 20:17:00,OUT,67,58,9
2023-04-14 20:18:00,OUT,67,59,8
2023-04-14 20:20:00,OUT,67,60,7
2023-04-14 20:25:00,OUT,67,61,6
2023-04-14 20:29:00,OUT,67,62,5
2023-04-14 20:33:00,OUT,67,63,4
2023-04-14 20:38:00,OUT,67,64,3
2023-04-14 20:43:00,OUT,67,65,2
2023-04-14 20:44:00,OUT,67,66,1
2023-04-14 20:45:00,OUT,67,67,0
2023-05-16 08:00:00,IN,1,0,1
2023-05-16 08:05:00,OUT,1,1,0
2023-05-16 08:20:00,IN,2,1,1
2023-05-16 08:30:00,OUT,2,2,0
2023-05-16 08:44:00,IN,3,2,1
2023-05-16 08:54:00,IN,4,2,2
2023-05-16 09:07:00,OUT,4,3,1
2023-05-16 09:14:00,IN,5,3,2
2023-05-16 09:19:00,OUT,5,4,1
2023-05-16 09:22:00,IN,6,4,2
2023-05-16 09:27:00,IN,7,4,3
2023-05-16 09:31:00,IN,8,4,4
